id,nct_id,phase
927,NCT01388088,PHASE4
928,NCT05614388,NA
929,NCT00615888,NA
930,NCT04207788,NA
931,NCT07660588,NA
932,NCT03175588,NA
933,NCT06070688,NA
934,NCT05021588,NA
935,NCT02066688,PHASE2
936,NCT02066688,PHASE3
937,NCT06575088,NA
938,NCT06134388,PHASE3
939,NCT05421988,NA
940,NCT06340503,NA
941,NCT00368303,PHASE3
942,NCT07557303,NA
943,NCT06547203,PHASE2
944,NCT06296303,NA
945,NCT00060203,PHASE1
946,NCT00060203,PHASE2
947,NCT02271503,PHASE2
948,NCT04134403,PHASE3
949,NCT02063503,NA
950,NCT05754203,NA
951,NCT05092503,PHASE1
952,NCT05092503,PHASE2
953,NCT02155803,PHASE2
954,NCT02155803,PHASE3
955,NCT01859403,NA
956,NCT06750003,NA
957,NCT06951503,PHASE3
958,NCT03164603,PHASE1
959,NCT00013403,PHASE2
960,NCT01656603,PHASE2
961,NCT05910203,NA
962,NCT03173703,NA
963,NCT02606903,PHASE1
964,NCT05254327,PHASE2
965,NCT00180427,PHASE4
966,NCT00199927,PHASE3
967,NCT03470727,NA
968,NCT02194127,PHASE2
969,NCT04367727,NA
970,NCT00003027,PHASE3
971,NCT05774327,NA
972,NCT05964127,NA
973,NCT07651527,NA
974,NCT02581527,PHASE3
975,NCT06257927,NA
976,NCT07491627,NA
977,NCT05552027,PHASE2
978,NCT00870727,PHASE3
979,NCT03375827,NA
980,NCT07580027,NA
981,NCT00550927,PHASE1
982,NCT03514927,NA
983,NCT04985227,NA
984,NCT00487227,NA
985,NCT00775827,NA
986,NCT06095661,NA
987,NCT06727461,NA
988,NCT05103761,NA
989,NCT07237061,NA
990,NCT03300661,NA
991,NCT03923361,PHASE2
992,NCT03923361,PHASE3
993,NCT07516561,PHASE3
994,NCT03335761,NA
995,NCT03474042,PHASE2
996,NCT03337542,PHASE3
997,NCT05854342,NA
998,NCT01050842,EARLY_PHASE1
999,NCT06651242,NA
1000,NCT03288142,NA
1001,NCT06126042,PHASE1
1002,NCT03717142,NA
1003,NCT00031642,PHASE1
1004,NCT00031642,PHASE2
1005,NCT04644042,NA
1006,NCT07567742,PHASE2
1007,NCT06178042,NA
1008,NCT00286442,PHASE3
1009,NCT05190042,NA
1010,NCT05056142,NA
1011,NCT00395486,PHASE4
1012,NCT05496686,PHASE1
1013,NCT00099086,PHASE1
1014,NCT02506686,PHASE4
1015,NCT03267186,PHASE2
1016,NCT06926686,NA
1017,NCT05695586,NA
1018,NCT07600086,NA
1019,NCT02727686,NA
1020,NCT06162286,PHASE3
1021,NCT04798586,PHASE1
1022,NCT02354586,PHASE2
1023,NCT03137186,PHASE2
1024,NCT07484386,NA
1025,NCT04776486,NA
1026,NCT06069986,NA
1027,NCT02062086,NA
1028,NCT05367986,NA
1029,NCT05788770,NA
1030,NCT05130970,PHASE2
1031,NCT05246670,PHASE2
1032,NCT06880770,PHASE3
1033,NCT01901770,NA
1034,NCT00244270,PHASE4
1035,NCT02975570,PHASE3
1036,NCT05723770,PHASE4
1037,NCT03522870,NA
1038,NCT00631670,NA
1039,NCT02481570,NA
1040,NCT04781270,PHASE3
1041,NCT05669170,PHASE2
1042,NCT02858570,PHASE2
1043,NCT02858570,PHASE3
1044,NCT06640270,NA
1045,NCT05735470,NA
1046,NCT07179770,PHASE1
1047,NCT03015870,NA
1048,NCT06490770,NA
1049,NCT03226470,PHASE1
1050,NCT05938673,NA
1051,NCT02831673,PHASE3
1052,NCT04785573,NA
1053,NCT04619173,NA
1054,NCT06688773,NA
1055,NCT06860373,PHASE3
1056,NCT01093573,PHASE1
1057,NCT01093573,PHASE2
1058,NCT00355173,PHASE1
1059,NCT05409573,NA
1060,NCT00968773,PHASE4
1061,NCT04174573,NA
1062,NCT02595073,PHASE3
1063,NCT01619969,PHASE1
1064,NCT01619969,PHASE2
1065,NCT04447469,PHASE2
1066,NCT04447469,PHASE3
1067,NCT02383069,NA
1068,NCT07276269,NA
1069,NCT02276469,NA
1070,NCT06754969,NA
1071,NCT01445769,PHASE2
1072,NCT05436769,PHASE1
1073,NCT00475969,PHASE3
1074,NCT01743469,PHASE2
1075,NCT03112083,NA
1076,NCT05465083,NA
1077,NCT07112183,PHASE4
1078,NCT06498583,NA
1079,NCT00885183,NA
1080,NCT07515183,NA
1081,NCT05739383,PHASE3
1082,NCT03983083,NA
1083,NCT04808583,NA
1084,NCT02988583,NA
1085,NCT00539383,PHASE1
1086,NCT00398983,PHASE2
1087,NCT00398983,PHASE3
1088,NCT04265183,NA
1089,NCT01678183,NA
1090,NCT02954783,NA
1091,NCT02976883,PHASE2
1092,NCT01051583,PHASE2
1093,NCT04461041,PHASE4
1094,NCT07015541,NA
1095,NCT07674641,NA
1096,NCT01062841,NA
1097,NCT01560741,PHASE1
1098,NCT04940741,PHASE3
1099,NCT02481141,NA
1100,NCT04923841,NA
1101,NCT00902941,PHASE4
1102,NCT02241941,PHASE4
1103,NCT07530341,NA
1104,NCT04501341,PHASE1
1105,NCT04501341,PHASE2
1106,NCT01690741,PHASE1
1107,NCT02327741,NA
1108,NCT00297141,PHASE2
1109,NCT03733041,NA
1110,NCT00151541,PHASE3
1111,NCT00284141,PHASE2
1112,NCT07054541,PHASE4
1113,NCT06104254,NA
1114,NCT00093054,PHASE2
1115,NCT00093054,PHASE3
1116,NCT03068754,PHASE2
1117,NCT03068754,PHASE3
1118,NCT06785454,PHASE2
1119,NCT00969254,PHASE3
1120,NCT00008554,PHASE3
1121,NCT06169254,NA
1122,NCT03739554,PHASE1
1123,NCT03103854,NA
1124,NCT05490654,NA
1125,NCT05915754,NA
1126,NCT04825054,NA
1127,NCT00546754,PHASE3
1128,NCT00333554,NA
1129,NCT02579954,NA
1130,NCT01159054,NA
1131,NCT07387705,PHASE1
1132,NCT05188105,NA
1133,NCT02298205,PHASE4
1134,NCT06560905,PHASE2
1135,NCT03266705,PHASE1
1136,NCT04460105,PHASE1
1137,NCT02423005,NA
1138,NCT03028805,NA
1139,NCT03080805,PHASE3
1140,NCT05056805,NA
1141,NCT07134205,PHASE3
1142,NCT02565394,NA
1143,NCT03736694,NA
1144,NCT02912494,PHASE3
1145,NCT04686994,PHASE1
1146,NCT02144194,PHASE2
1147,NCT01153594,PHASE3
1148,NCT05357794,PHASE2
1149,NCT04823494,NA
1150,NCT02244294,PHASE2
1151,NCT02085694,PHASE2
1152,NCT02085694,PHASE3
1153,NCT06070194,NA
1154,NCT03107494,NA
1155,NCT07037394,PHASE4
1156,NCT04189094,PHASE2
1157,NCT06674694,PHASE1
1158,NCT04878094,PHASE3
1159,NCT05314894,NA
1160,NCT04980794,NA
1161,NCT01102894,NA
1162,NCT06883994,NA
1163,NCT06877494,PHASE2
1164,NCT00292994,NA
1165,NCT06934694,NA
1166,NCT00537394,PHASE3
1167,NCT04737694,NA
1168,NCT05557994,NA
1169,NCT07201194,NA
1170,NCT00970866,NA
1171,NCT07703566,NA
1172,NCT02069366,NA
1173,NCT02082366,NA
1174,NCT01145066,PHASE2
1175,NCT02559466,NA
1176,NCT04440566,NA
1177,NCT01299766,PHASE3
1178,NCT04288466,NA
1179,NCT00501566,PHASE2
1180,NCT06725966,NA
1181,NCT03039166,NA
1182,NCT00808366,NA
1183,NCT06550466,NA
1184,NCT07474766,NA
1185,NCT01256866,PHASE4
1186,NCT04743856,NA
1187,NCT07037056,NA
1188,NCT01175356,PHASE1
1189,NCT06966856,PHASE3
1190,NCT01631656,NA
1191,NCT00321256,PHASE1
1192,NCT00321256,PHASE2
1193,NCT05687656,NA
1194,NCT05362656,NA
1195,NCT02518256,NA
1196,NCT01242956,PHASE2
1197,NCT06124456,NA
1198,NCT04045756,NA
1199,NCT00388856,PHASE2
1200,NCT00426556,PHASE1
1201,NCT05240456,PHASE1
1202,NCT05240456,PHASE2
1203,NCT01171456,NA
1204,NCT04640922,NA
1205,NCT04835922,NA
1206,NCT06947122,NA
1207,NCT00226122,PHASE4
1208,NCT01357122,PHASE4
1209,NCT01502722,NA
1210,NCT05181722,NA
1211,NCT04224922,PHASE2
1212,NCT03017222,NA
1213,NCT01125722,NA
1214,NCT05569122,PHASE1
1215,NCT05912322,NA
1216,NCT00145522,PHASE4
1217,NCT06826222,NA
1218,NCT04063722,NA
1219,NCT01868022,PHASE1
1220,NCT04424251,PHASE2
1221,NCT01677351,PHASE2
1222,NCT05901051,PHASE4
1223,NCT00873951,NA
1224,NCT02050451,NA
1225,NCT05401851,NA
1226,NCT03200951,NA
1227,NCT01235351,PHASE2
1228,NCT03133429,NA
1229,NCT00809029,NA
1230,NCT05650229,PHASE2
1231,NCT04066829,NA
1232,NCT01459029,PHASE2
1233,NCT04577729,NA
1234,NCT06941129,PHASE1
1235,NCT05802329,PHASE1
1236,NCT03074929,NA
1237,NCT04993729,PHASE3
1238,NCT00279929,NA
1239,NCT00863629,PHASE4
1240,NCT00728429,NA
1241,NCT02553629,PHASE4
1242,NCT03060629,PHASE2
1243,NCT00776529,PHASE1
1244,NCT06742229,NA
1245,NCT07150429,NA
1246,NCT07056829,NA
1247,NCT00424229,PHASE2
1248,NCT00726531,PHASE3
1249,NCT03466931,NA
1250,NCT01490931,PHASE4
1251,NCT04648631,NA
1252,NCT06932731,NA
1253,NCT03386331,NA
1254,NCT02833831,PHASE1
1255,NCT03421431,PHASE2
1256,NCT01609231,PHASE2
1257,NCT04562831,NA
1258,NCT07290231,NA
1259,NCT06351202,NA
1260,NCT03747302,NA
1261,NCT01330602,NA
1262,NCT07688902,NA
1263,NCT04475302,PHASE3
1264,NCT06832202,PHASE2
1265,NCT06784102,NA
1266,NCT02716402,NA
1267,NCT03972202,NA
1268,NCT01825902,EARLY_PHASE1
1269,NCT06101602,NA
1270,NCT00087802,PHASE3
1271,NCT06895902,EARLY_PHASE1
1272,NCT06746402,PHASE1
1273,NCT03340402,NA
1274,NCT02890602,PHASE2
1275,NCT03370302,PHASE1
1276,NCT05982002,NA
1277,NCT02254902,NA
1278,NCT01664702,NA
1279,NCT06951802,PHASE4
1280,NCT04684602,PHASE1
1281,NCT04684602,PHASE2
1282,NCT02469402,NA
1283,NCT06687902,NA
1284,NCT00000853,PHASE1
1285,NCT06190353,NA
1286,NCT00829153,PHASE1
1287,NCT00829153,PHASE2
1288,NCT00872053,PHASE1
1289,NCT00872053,PHASE2
1290,NCT06009653,PHASE4
1291,NCT03366753,NA
1292,NCT00332553,PHASE2
1293,NCT05415553,NA
1294,NCT01510353,PHASE3
1295,NCT03767153,NA
1296,NCT07616453,PHASE2
1297,NCT00950053,PHASE4
1298,NCT06164353,NA
1299,NCT00873353,PHASE2
1300,NCT02083653,PHASE2
1301,NCT02258737,NA
1302,NCT04666337,NA
1303,NCT06672237,PHASE3
1304,NCT00315237,PHASE3
1305,NCT01974037,PHASE4
1306,NCT03189537,PHASE3
1307,NCT03359837,PHASE4
1308,NCT07553637,PHASE2
1309,NCT02573337,PHASE4
1310,NCT01243437,PHASE2
1311,NCT03094637,PHASE2
1312,NCT05892237,PHASE2
1313,NCT03192137,PHASE3
1314,NCT05307237,NA
1315,NCT07214337,NA
1316,NCT01693237,PHASE2
1317,NCT01693237,PHASE3
1318,NCT01043445,NA
1319,NCT00259545,PHASE2
1320,NCT01342445,PHASE4
1321,NCT00386945,NA
1322,NCT00587145,PHASE2
1323,NCT00966745,NA
1324,NCT02751645,NA
1325,NCT00861445,PHASE2
1326,NCT02708745,NA
1327,NCT04397445,PHASE1
1328,NCT04935645,NA
1329,NCT06057545,PHASE3
1330,NCT06177145,NA
1331,NCT04656145,NA
1332,NCT02420145,NA
1333,NCT03708445,NA
1334,NCT05505045,NA
1335,NCT05226845,NA
1336,NCT07100145,PHASE4
1337,NCT01577745,PHASE1
1338,NCT00534872,PHASE1
1339,NCT02141672,PHASE2
1340,NCT07370272,NA
1341,NCT04073472,PHASE1
1342,NCT05145972,PHASE2
1343,NCT01359072,NA
1344,NCT01517672,NA
1345,NCT03947372,NA
1346,NCT02912572,PHASE2
1347,NCT05309772,NA
1348,NCT06772272,PHASE3
1349,NCT07380672,NA
1350,NCT05331872,PHASE1
1351,NCT03903172,NA
1352,NCT05460572,NA
1353,NCT01104272,NA
1354,NCT06960772,NA
1355,NCT05543772,PHASE4
1356,NCT00203372,PHASE2
1357,NCT04778072,NA
1358,NCT00709072,PHASE2
1359,NCT00427895,PHASE3
1360,NCT05373095,NA
1361,NCT03924895,PHASE3
1362,NCT03217695,NA
1363,NCT00880295,NA
1364,NCT05804695,NA
1365,NCT05779839,NA
1366,NCT04620239,PHASE3
1367,NCT02765139,NA
1368,NCT05281939,NA
1369,NCT00273039,PHASE2
1370,NCT03721939,NA
1371,NCT02026739,NA
1372,NCT04904939,NA
1373,NCT01378039,NA
1374,NCT02356939,NA
1375,NCT04455139,PHASE2
1376,NCT01461239,PHASE3
1377,NCT01565239,PHASE2
1378,NCT06212739,NA
1379,NCT06195839,NA
1380,NCT06432439,NA
1381,NCT05708339,NA
1382,NCT07178639,NA
1383,NCT04439539,PHASE2
1384,NCT01669239,PHASE2
1385,NCT02409277,NA
1386,NCT01570777,PHASE4
1387,NCT01127477,PHASE3
1388,NCT05277077,NA
1389,NCT06041477,PHASE3
1390,NCT01275677,PHASE3
1391,NCT03663777,NA
1392,NCT00476177,PHASE1
1393,NCT04892277,PHASE1
1394,NCT00675675,NA
1395,NCT07548775,NA
